id,order,title,pdf_start_page,pdf_end_page
T00,0,"Úvod",1,4
T01,1,"PRAVĚK, EGYPT, MEZOPOTÁMIE",5,10
T02,2,"INDIE, ČÍNA, JAPONSKO",11,19
T03,3,"ANTIKA (Řecko, Řím)",20,27
T04,4,"STŘEDOVĚK  (Feudalismus)",28,33
T05,5,"RENESANCE",34,43
T06,6,"POČÁTKY BALETU JAKO JEVIŠTNÍ FORMY – DVORSKÝ BALET",44,47
T07,7,"BAROKO A ROKOKO",48,52
T08,8,"KLASICISMUS",53,60
T09,9,"PREROMANTISMUS",61,67
T10,10,"ROMANTISMUS",68,75
T11,11,"VÝZNAMNÍ CHOREOGRAFOVÉ A TANEČNICE V OBDOBÍ ROMANTISMU",76,79
T12,12,"VÝVOJ BALETU V RUSKU",80,84
T13,13,"SOUBOR RUSKÉ BALETY SERGEJE ĎAGILEVA",85,87
T14,14,"VÝZNAMNÍ CHOREOGRAFOVÉ SOUBORU RUSKÉ BALETY",88,91
T15,15,"VÝVOJ BALETU V USA",92,96
T16,16,"VÝVOJ MODERNÍHO TANCE V EVROPĚ",97,102
T17,17,"VÝVOJ MODERNÍHO TANCE V USA",103,109
T18,18,"VÝVOJ BALETU V ANGLII",110,114
T19,19,"VÝZNAMNÍ SVĚTOVÍ CHOREOGRAFOVÉ",115,119
T20,20,"POČÁTKY TANCE V ČECHÁCH",120,123
T21,21,"BALETNÍ MISTŘI ND DO ROKU 1945",124,127
T22,22,"ZAKLADATELÉ ČESKÉ CHOREOGRAFICKÉ TVORBY",128,131
T23,23,"VÝNAMNÍ ČEŠTÍ CHOREOGRAFOVÉ – JIŘÍ KYLIÁN, PAVEL ŠMOK, LUBOŠ OGOUN",132,136
T24,24,"BALETNÍ MISTŘI A REPEROTÁR ND OD R. 1959",137,140
